method1,method2,accuracy,precision,recall,f1_score,jaccard,dice_coefficient,intersection_over_union,pixel_agreement,area1,area2,area_difference,area_ratio,true_negative,false_positive,false_negative,true_positive,time1,time2,time_diff
Adaptive_Threshold_Sklearn,Adaptive_Threshold_Sklearn,1.0,1.0,1.0,1.0,1.0,0.999999999999987,0.999999999999974,1.0,385614,385614,0,1.0,62736,0,0,385614,0.039739370346069336,0.039739370346069336,0.0
Adaptive_Threshold_Sklearn,Otsu_Thresholding_Sklearn,0.6663722538195606,0.8820277094393371,0.7066029760330278,0.7846296941546418,0.6455889948774813,0.7846296941546305,0.645588994877466,0.6663722538195606,385614,308920,76694,0.8011119928218374,26292,36444,113138,272476,0.039739370346069336,0.03482985496520996,0.004909515380859375
Adaptive_Threshold_Sklearn,Niblack_Thresholding_Sklearn,0.4074473067915691,0.9827651438921312,0.31659638913524923,0.47891197024943166,0.31484829338112985,0.4789119702494223,0.3148482933811217,0.4074473067915691,385614,124225,261389,0.32214857344391024,60595,2141,263530,122084,0.039739370346069336,0.042832374572753906,0.0030930042266845703
Adaptive_Threshold_Sklearn,Sauvola_Thresholding_Sklearn,0.8663075722092115,0.8728325949330861,0.9885896258953254,0.9271117953132961,0.8641271208532149,0.9271117953132848,0.8641271208531952,0.8663075722092115,385614,436755,51141,0.8829068928804479,7195,55541,4400,381214,0.039739370346069336,0.04125809669494629,0.0015187263488769531
Adaptive_Threshold_Sklearn,Sobel_Sklearn,0.32432920709267316,0.7776874659931348,0.3002276888287251,0.43321278024850274,0.2764975197571583,0.43321278024849463,0.2764975197571517,0.32432920709267316,385614,148867,236747,0.3860518549637721,29641,33095,269842,115772,0.039739370346069336,0.0074918270111083984,0.03224754333496094
Adaptive_Threshold_Sklearn,Canny_Sklearn,0.2390877662540426,0.7907375194548713,0.15678631999875522,0.2616859240855882,0.15054007081426443,0.26168592408558256,0.15054007081426068,0.2390877662540426,385614,76459,309155,0.1982785894702993,46736,16000,325155,60459,0.039739370346069336,0.018695592880249023,0.021043777465820312
Adaptive_Threshold_Sklearn,Global_Threshold_Torch,0.6164625850340136,0.9160257184137456,0.6099830400348535,0.7323157870157769,0.577679977012454,0.7323157870157655,0.5776799770124399,0.6164625850340136,385614,256781,128833,0.6659016529482851,41173,21563,150396,235218,0.039739370346069336,0.01045989990234375,0.029279470443725586
Adaptive_Threshold_Sklearn,Adaptive_Threshold_Torch,0.6734337013493922,0.9183450746101592,0.6808414632248829,0.7819568131049889,0.6419779048215221,0.7819568131049772,0.6419779048215063,0.6734337013493922,385614,285886,99728,0.7413786843838658,39392,23344,123072,262542,0.039739370346069336,0.007790327072143555,0.03194904327392578
Adaptive_Threshold_Sklearn,Otsu_Thresholding_Torch,0.6508687409389986,0.887758936460488,0.6800479235712397,0.7701441252266871,0.6262068109148481,0.7701441252266757,0.6262068109148331,0.6508687409389986,385614,295391,90223,0.7660276857168049,29581,33155,123378,262236,0.039739370346069336,0.007857799530029297,0.03188157081604004
Adaptive_Threshold_Sklearn,Niblack_Thresholding_Torch,0.5893654510984722,0.9012401236141201,0.5868692526723615,0.7108484446803766,0.5514079719696988,0.7108484446803653,0.5514079719696854,0.5893654510984722,385614,251104,134510,0.6511796770864129,37937,24799,159309,226305,0.039739370346069336,0.16301989555358887,0.12328052520751953
Adaptive_Threshold_Sklearn,Sauvola_Thresholding_Torch,0.8325259284041485,0.8978330553228125,0.9086807014268155,0.9032243097255142,0.8235269232667508,0.9032243097255025,0.8235269232667314,0.8325259284041485,385614,390273,4659,0.9880622026120177,22863,39873,35214,350400,0.039739370346069336,0.16325926780700684,0.1235198974609375
Adaptive_Threshold_Sklearn,Sobel_Torch,0.3273848555815769,0.7792426125150341,0.30410980929115644,0.4374851941317466,0.27998787114765683,0.4374851941317384,0.27998787114765017,0.3273848555815769,385614,150491,235123,0.3902633203151338,29514,33222,268345,117269,0.039739370346069336,0.007185697555541992,0.032553672790527344
Adaptive_Threshold_Sklearn,Canny_Torch,0.22144083863053418,0.7617342481057622,0.1379151171897286,0.2335458060606327,0.1322116400537975,0.23354580606062755,0.13221164005379424,0.22144083863053418,385614,69817,315797,0.18105411110592456,46101,16635,332432,53182,0.039739370346069336,0.007955074310302734,0.0317842960357666
Otsu_Thresholding_Sklearn,Global_Threshold_CV2,0.8760298873647819,0.9932785544608435,0.8256636022271138,0.9017482455675169,0.8210760801684233,0.901748245567501,0.8210760801683967,0.8760298873647819,308920,256790,52130,0.8312508092710087,137704,1726,53856,255064,0.03482985496520996,0.0009493827819824219,0.03388047218322754
Otsu_Thresholding_Sklearn,Adaptive_Threshold_CV2,0.5525749972119995,0.688943235219213,0.6392528810047908,0.6631685525699385,0.49607491942594595,0.6631685525699273,0.4960749194259335,0.5525749972119995,308920,286639,22281,0.927874530622815,50269,89161,111442,197478,0.03482985496520996,0.0015308856964111328,0.03329896926879883
Otsu_Thresholding_Sklearn,Otsu_Thresholding_CV2,0.9482279469164715,0.9845596515745628,0.9395960119124692,0.9615524769268483,0.9259519191506738,0.9615524769268324,0.9259519191506441,0.9482279469164715,308920,294812,14108,0.9543312184384306,134878,4552,18660,290260,0.03482985496520996,0.0008966922760009766,0.033933162689208984
Otsu_Thresholding_Sklearn,Niblack_Thresholding_CV2,0.600918924947028,0.7592415322516314,0.6161918943415771,0.6802778949174106,0.5154705617928845,0.6802778949173984,0.5154705617928705,0.600918924947028,308920,250716,58204,0.8115887608442315,79068,60362,118566,190354,0.03482985496520996,0.002545595169067383,0.03228425979614258
Otsu_Thresholding_Sklearn,Sauvola_Thresholding_CV2,0.693846325415412,0.7199792907597831,0.9093292761880098,0.80365163556883,0.6717538632243995,0.8036516355688186,0.6717538632243834,0.693846325415412,308920,390164,81244,0.7917696148286362,30176,109254,28010,280910,0.03482985496520996,0.0026171207427978516,0.03221273422241211
Otsu_Thresholding_Sklearn,Sobel_CV2,0.5236868517898963,0.828489153123859,0.389294963097242,0.5296943029486189,0.3602613415773959,0.5296943029486072,0.36026134157738515,0.5236868517898963,308920,145157,163763,0.4698854072251716,114534,24896,188659,120261,0.03482985496520996,0.004088878631591797,0.030740976333618164
Otsu_Thresholding_Sklearn,Canny_CV2,0.46322515891602545,0.8002023134098606,0.29448077172083387,0.43052495829438836,0.27431143971969096,0.4305249582943782,0.2743114397196827,0.46322515891602545,308920,113685,195235,0.36800789848504467,116716,22714,217949,90971,0.03482985496520996,0.001729726791381836,0.033100128173828125
Otsu_Thresholding_Sklearn,Global_Threshold_Sklearn,0.9297000111520017,1.0,0.8979703483102421,0.9462427578067304,0.8979703483102421,0.9462427578067143,0.897970348310213,0.9297000111520017,308920,277401,31519,0.8979703483102421,139430,0,31519,277401,0.03482985496520996,0.033127546310424805,0.0017023086547851562
Otsu_Thresholding_Sklearn,Adaptive_Threshold_Sklearn,0.6663722538195606,0.7066029760330278,0.8820277094393371,0.7846296941546418,0.6455889948774813,0.7846296941546305,0.645588994877466,0.6663722538195606,308920,385614,76694,0.8011119928218374,26292,113138,36444,272476,0.03482985496520996,0.039739370346069336,0.004909515380859375
Otsu_Thresholding_Sklearn,Otsu_Thresholding_Sklearn,1.0,1.0,1.0,1.0,1.0,0.9999999999999838,0.9999999999999676,1.0,308920,308920,0,1.0,139430,0,0,308920,0.03482985496520996,0.03482985496520996,0.0
Otsu_Thresholding_Sklearn,Niblack_Thresholding_Sklearn,0.5265016170402588,0.8889192996578789,0.35745824161595235,0.5098800632582623,0.3421738416393209,0.5098800632582504,0.3421738416393103,0.5265016170402588,308920,124225,184695,0.4021267642107989,125631,13799,198494,110426,0.03482985496520996,0.042832374572753906,0.008002519607543945
Otsu_Thresholding_Sklearn,Sauvola_Thresholding_Sklearn,0.7143459350953496,0.7070348364643794,0.9996147869998705,0.8282455493344956,0.7068422474214533,0.8282455493344845,0.7068422474214371,0.7143459350953496,308920,436755,127835,0.7073073004315921,11476,127954,119,308801,0.03482985496520996,0.04125809669494629,0.006428241729736328
Otsu_Thresholding_Sklearn,Sobel_Sklearn,0.529450206312033,0.8289815741567976,0.39948206655444773,0.5391503035254387,0.36906623920760573,0.5391503035254269,0.3690662392075947,0.529450206312033,308920,148867,160053,0.4818949889939143,113971,25459,185512,123408,0.03482985496520996,0.0074918270111083984,0.027338027954101562
Otsu_Thresholding_Sklearn,Canny_Sklearn,0.4293096910895506,0.8469244954812383,0.2096173766670983,0.33605878888055657,0.2019655421927242,0.3360587888805478,0.2019655421927179,0.4293096910895506,308920,76459,232461,0.24750420820924512,127726,11704,244165,64755,0.03482985496520996,0.018695592880249023,0.016134262084960938
Otsu_Thresholding_Sklearn,Global_Threshold_Torch,0.8760098137615702,0.9932783188787332,0.8256344684708015,0.9017307729701733,0.8210471082840275,0.9017307729701574,0.8210471082840011,0.8760098137615702,308920,256781,52139,0.8312216755146964,137704,1726,53865,255055,0.03482985496520996,0.01045989990234375,0.02436995506286621
Otsu_Thresholding_Sklearn,Adaptive_Threshold_Torch,0.5727177428348389,0.7052356533723232,0.6526511718244206,0.6779252394898505,0.5127737551152245,0.6779252394898391,0.5127737551152114,0.5727177428348389,308920,285886,23034,0.9254370063446847,55161,84269,107303,201617,0.03482985496520996,0.007790327072143555,0.027039527893066406
Otsu_Thresholding_Sklearn,Otsu_Thresholding_Torch,0.9489751310360209,0.984176904509616,0.9410753593163278,0.962143664437682,0.9270489869066373,0.962143664437666,0.9270489869066076,0.9489751310360209,308920,295391,13529,0.9562054900945228,134756,4674,18203,290717,0.03482985496520996,0.007857799530029297,0.026972055435180664
Otsu_Thresholding_Sklearn,Niblack_Thresholding_Torch,0.6008207873313259,0.7587533452274755,0.6167486727955458,0.6804208391068954,0.5156347260336998,0.6804208391068832,0.5156347260336858,0.6008207873313259,308920,251104,57816,0.8128447494496958,78852,60578,118394,190526,0.03482985496520996,0.16301989555358887,0.1281900405883789
Otsu_Thresholding_Sklearn,Sauvola_Thresholding_Torch,0.6939823798371808,0.7199960027980413,0.9096044283309594,0.8037694885389299,0.6719185648903151,0.8037694885389184,0.671918564890299,0.6939823798371808,308920,390273,81353,0.7915484801664476,30152,109278,27925,280995,0.03482985496520996,0.16325926780700684,0.12842941284179688
Otsu_Thresholding_Sklearn,Sobel_Torch,0.5314218802275008,0.8283684738622243,0.4035413699339635,0.5427035922082841,0.37240439851948776,0.5427035922082722,0.3724043985194766,0.5314218802275008,308920,150491,158429,0.4871520134662696,113601,25829,184258,124662,0.03482985496520996,0.007185697555541992,0.02764415740966797
Otsu_Thresholding_Sklearn,Canny_Torch,0.38391658302665327,0.734176489966627,0.1659264534507316,0.2706785975492228,0.15652301368942742,0.27067859754921564,0.15652301368942262,0.38391658302665327,308920,69817,239103,0.22600349605075748,120871,18559,257662,51258,0.03482985496520996,0.007955074310302734,0.026874780654907227
Niblack_Thresholding_Sklearn,Global_Threshold_CV2,0.6025404260064682,0.3949024494723315,0.8163171664318777,0.5322992533102371,0.362675602987039,0.5322992533102231,0.362675602987026,0.6025404260064682,124225,256790,132565,0.48376104988512014,168742,155383,22818,101407,0.042832374572753906,0.0009493827819824219,0.041882991790771484
Niblack_Thresholding_Sklearn,Adaptive_Threshold_CV2,0.5073402475744396,0.33139244834094456,0.7646608975649024,0.46239144826511935,0.3007211736325244,0.4623914482651081,0.3007211736325148,0.5073402475744396,124225,286639,162414,0.4333848499331912,132476,191649,29235,94990,0.042832374572753906,0.0015308856964111328,0.04130148887634277
Niblack_Thresholding_Sklearn,Otsu_Thresholding_CV2,0.5504784208765473,0.3688689741258836,0.8754035017106058,0.5190329254934528,0.35046891617519094,0.5190329254934405,0.35046891617517967,0.5504784208765473,124225,294812,170587,0.421370229162992,138060,186065,15478,108747,0.042832374572753906,0.0008966922760009766,0.04193568229675293
Niblack_Thresholding_Sklearn,Niblack_Thresholding_CV2,0.6367190810750529,0.42291676638108455,0.8535479975850272,0.5655929866298964,0.39430439293590025,0.5655929866298813,0.3943043929358856,0.6367190810750529,124225,250716,126491,0.4954809425804496,179441,144684,18193,106032,0.042832374572753906,0.002545595169067383,0.04028677940368652
Niblack_Thresholding_Sklearn,Sauvola_Thresholding_CV2,0.38241775398684064,0.30435406649511487,0.9559106460052325,0.46170505201316514,0.30014078419577345,0.46170505201315615,0.30014078419576584,0.38241775398684064,124225,390164,265939,0.31839175321147006,52709,271416,5477,118748,0.042832374572753906,0.0026171207427978516,0.040215253829956055
Niblack_Thresholding_Sklearn,Sobel_CV2,0.6065127690420431,0.32021190848529524,0.3741678406117931,0.3450935845750644,0.20852755259061198,0.34509358457505157,0.2085275525906026,0.6065127690420431,124225,145157,20932,0.8557975157932446,225449,98676,77744,46481,0.042832374572753906,0.004088878631591797,0.03874349594116211
Niblack_Thresholding_Sklearn,Canny_CV2,0.6271082859373257,0.31105246954303556,0.28466089756490237,0.29727207767643227,0.17458577719849122,0.2972720776764198,0.1745857771984826,0.6271082859373257,124225,113685,10540,0.9151539545180116,245802,78323,88863,35362,0.042832374572753906,0.001729726791381836,0.04110264778137207
Niblack_Thresholding_Sklearn,Global_Threshold_Sklearn,0.5790877662540426,0.3837585300701872,0.8569531092775207,0.5301200619481806,0.3606553489333302,0.5301200619481674,0.36065534893331797,0.5790877662540426,124225,277401,153176,0.44781741954787474,153179,170946,17770,106455,0.042832374572753906,0.033127546310424805,0.009704828262329102
Niblack_Thresholding_Sklearn,Adaptive_Threshold_Sklearn,0.4074473067915691,0.31659638913524923,0.9827651438921312,0.47891197024943166,0.31484829338112985,0.4789119702494223,0.3148482933811217,0.4074473067915691,124225,385614,261389,0.32214857344391024,60595,263530,2141,122084,0.042832374572753906,0.039739370346069336,0.0030930042266845703
Niblack_Thresholding_Sklearn,Otsu_Thresholding_Sklearn,0.5265016170402588,0.35745824161595235,0.8889192996578789,0.5098800632582623,0.3421738416393209,0.5098800632582504,0.3421738416393103,0.5265016170402588,124225,308920,184695,0.4021267642107989,125631,198494,13799,110426,0.042832374572753906,0.03482985496520996,0.008002519607543945
Niblack_Thresholding_Sklearn,Niblack_Thresholding_Sklearn,1.0,1.0,1.0,1.0,1.0,0.9999999999999597,0.9999999999999195,1.0,124225,124225,0,1.0,324125,0,0,124225,0.042832374572753906,0.042832374572753906,0.0
Niblack_Thresholding_Sklearn,Sauvola_Thresholding_Sklearn,0.30293297646927625,0.28442719602523153,1.0,0.4428856643730614,0.28442719602523153,0.44288566437305354,0.28442719602522504,0.30293297646927625,124225,436755,312530,0.28442719602523153,11595,312530,0,124225,0.042832374572753906,0.04125809669494629,0.0015742778778076172
Niblack_Thresholding_Sklearn,Sobel_Sklearn,0.6028236868517899,0.31913721644152165,0.38244314751459046,0.34793402955780467,0.21060540909554354,0.34793402955779196,0.2106054090955342,0.6028236868517899,124225,148867,24642,0.8344696944252252,222767,101358,76716,47509,0.042832374572753906,0.0074918270111083984,0.03534054756164551
Niblack_Thresholding_Sklearn,Canny_Sklearn,0.6544886807181889,0.2993368995147726,0.18423827731938017,0.2280899324310857,0.12872545656000944,0.2280899324310743,0.1287254565600022,0.6544886807181889,124225,76459,47766,0.6154880257597102,270553,53572,101338,22887,0.042832374572753906,0.018695592880249023,0.024136781692504883
Niblack_Thresholding_Sklearn,Global_Threshold_Torch,0.6025471172075387,0.39490460742811967,0.8162930167035621,0.5322960793268348,0.3626726561326457,0.5322960793268208,0.3626726561326327,0.6025471172075387,124225,256781,132556,0.48377800538201815,168748,155377,22821,101404,0.042832374572753906,0.01045989990234375,0.032372474670410156
Niblack_Thresholding_Sklearn,Adaptive_Threshold_Torch,0.538425337348054,0.3553234506061857,0.8177259005836184,0.4953878340254224,0.32924619727805166,0.4953878340254103,0.329246197278041,0.538425337348054,124225,285886,161661,0.434526349663852,139821,184304,22643,101582,0.042832374572753906,0.007790327072143555,0.03504204750061035
Niblack_Thresholding_Sklearn,Otsu_Thresholding_Torch,0.5496063343370134,0.36846417121713254,0.8761601931978266,0.5187647754137116,0.35022443890274313,0.5187647754136993,0.35022443890273186,0.5496063343370134,124225,295391,171166,0.42054429552694567,137575,186550,15384,108841,0.042832374572753906,0.007857799530029297,0.03497457504272461
Niblack_Thresholding_Sklearn,Niblack_Thresholding_Torch,0.6360499609679937,0.42243851153306994,0.853902193600322,0.5652427603515848,0.3939640412548792,0.5652427603515698,0.3939640412548646,0.6360499609679937,124225,251104,126879,0.4947153370714923,179097,145028,18149,106076,0.042832374572753906,0.16301989555358887,0.12018752098083496
Niblack_Thresholding_Sklearn,Sauvola_Thresholding_Torch,0.38217464034794246,0.30426906293799466,0.9559106460052325,0.4616072365684609,0.3000581174984207,0.46160723656845193,0.3000581174984131,0.38217464034794246,124225,390273,266048,0.3183028290453093,52600,271525,5477,118748,0.042832374572753906,0.16325926780700684,0.12042689323425293
Niblack_Thresholding_Sklearn,Sobel_Torch,0.600967993754879,0.3183246838681383,0.3856309116522439,0.3487601741434791,0.2112110964635754,0.3487601741434664,0.2112110964635661,0.600967993754879,124225,150491,26266,0.8254646457263225,221539,102586,76320,47905,0.042832374572753906,0.007185697555541992,0.035646677017211914
Niblack_Thresholding_Sklearn,Canny_Torch,0.6761324857811978,0.34974289929386826,0.19656268866975246,0.2516774718875295,0.14395368579917936,0.25167747188751655,0.14395368579917087,0.6761324857811978,124225,69817,54408,0.5620205272690683,278726,45399,99807,24418,0.042832374572753906,0.007955074310302734,0.03487730026245117
