method1,method2,accuracy,precision,recall,f1_score,jaccard,dice_coefficient,intersection_over_union,pixel_agreement,sklearn_kmeans_area,sklearn_dbscan_area,area_difference,area_ratio,true_negative,false_positive,false_negative,true_positive,time1,time2,time_diff,sklearn_meanshift_area,sklearn_gmm_area,skimage_felzenszwalb_area,skimage_slic_area,skimage_quickshift_area,skimage_watershed_area
sklearn_dbscan,skimage_watershed,0.27555989583333335,0.2555485157371,0.750454207162245,0.38126628169805077,0.23553366275584778,0.3812662816980455,0.23553366275584373,0.27555989583333335,,182736.0,18446744073709197722,0.34052512904607757,32169,399495,45601,137135,0.5105087757110596,0.15695929527282715,0.3535494804382324,,,,,,536630.0
sklearn_meanshift,sklearn_gmm,0.48887532552083335,0.9947409033856263,0.4901421643179311,0.6567041808551923,0.48887532552083335,0.6567041808551851,0.48887532552082535,0.48887532552083335,,,310859,0.4927334973858134,0,1588,312447,300365,19.48715615272522,2.392676830291748,17.09447932243347,612812.0,301953.0,,,,
sklearn_meanshift,skimage_felzenszwalb,0.9229736328125,0.9972074849251665,0.9253653649079979,0.9599441376245794,0.9229736328125,0.9599441376245713,0.922973632812485,0.9229736328125,,,44149,0.927956697975873,0,1588,45737,567075,19.48715615272522,0.4476311206817627,19.039525032043457,612812.0,,568663.0,,,
sklearn_meanshift,skimage_slic,0.9488688151041667,0.9972834872633529,0.951327650241836,0.973763659975697,0.9488688151041667,0.9737636599756889,0.9488688151041512,0.9488688151041667,,,28239,0.9539189833097107,0,1588,29827,582985,19.48715615272522,0.337022066116333,19.150134086608887,612812.0,,,584573.0,,
sklearn_meanshift,skimage_quickshift,0.9938362630208334,0.9974060806826516,0.9964116237932678,0.9969086042352203,0.9938362630208334,0.9969086042352122,0.9938362630208172,0.9938362630208334,,,611,0.9990029568611417,0,1588,2199,610613,19.48715615272522,2.1883740425109863,17.298782110214233,612812.0,,,,612201.0,
sklearn_meanshift,skimage_watershed,0.876005859375,1.0,0.8756845492581738,0.9337226236730518,0.8756845492581738,0.9337226236730437,0.8756845492581595,0.876005859375,,,76182,0.8756845492581595,1588,0,76182,536630,19.48715615272522,0.15695929527282715,19.330196857452393,612812.0,,,,,536630.0
sklearn_gmm,skimage_felzenszwalb,0.54703125,0.5207935103919193,0.9808016479385865,0.6803366811544929,0.5155380705358076,0.6803366811544851,0.5155380705357986,0.54703125,,,18446744073709284906,0.5309875972236539,39940,272507,5797,296156,2.392676830291748,0.4476311206817627,1.9450457096099854,,301953.0,568663.0,,,
sklearn_gmm,skimage_slic,0.503134765625,0.49715946511385234,0.962487539451504,0.6556513852949604,0.48770934720590703,0.6556513852949529,0.4877093472058988,0.503134765625,,,18446744073709268996,0.5165360014916782,18500,293947,11327,290626,2.392676830291748,0.337022066116333,2.055654764175415,,301953.0,,584573.0,,
sklearn_gmm,skimage_quickshift,0.494345703125,0.4928773393052282,0.9992945922047471,0.6601513530542994,0.4927059146263802,0.6601513530542922,0.49270591462637214,0.494345703125,,,18446744073709241368,0.49322526425143876,1986,310461,213,301740,2.392676830291748,2.1883740425109863,0.20430278778076172,,301953.0,,,612201.0,
sklearn_gmm,skimage_watershed,0.3922021484375,0.4334010398225966,0.7702390769424381,0.554688086927591,0.3837843457253794,0.5546880869275843,0.38378434572537307,0.3922021484375,,,18446744073709316939,0.562683785848712,8393,304054,69377,232576,2.392676830291748,0.15695929527282715,2.235717535018921,,301953.0,,,,536630.0
skimage_felzenszwalb,skimage_slic,0.87701171875,0.9217599854936851,0.9475488997877477,0.9344765512002747,0.87701171875,0.9344765512002666,0.8770117187499857,0.87701171875,,,18446744073709535706,0.9727835531233743,0,45737,29827,538836,0.4476311206817627,0.337022066116333,0.11060905456542969,,,568663.0,584573.0,,
skimage_felzenszwalb,skimage_quickshift,0.9219791666666667,0.925290876689192,0.9961330348554416,0.9594059942550539,0.9219791666666667,0.9594059942550458,0.9219791666666517,0.9219791666666667,,,18446744073709508078,0.9288828342325326,0,45737,2199,566464,0.4476311206817627,2.1883740425109863,1.7407429218292236,,,568663.0,,612201.0,
skimage_felzenszwalb,skimage_watershed,0.7989794921875,0.9147699532266179,0.8632406187847635,0.8882585884466834,0.7989794921875,0.8882585884466753,0.798979492187487,0.7989794921875,,,32033,0.9436696250679059,0,45737,77770,490893,0.4476311206817627,0.15695929527282715,0.29067182540893555,,,568663.0,,,536630.0
skimage_slic,skimage_quickshift,0.9478743489583333,0.9512790733762277,0.9962382799068722,0.973239726130414,0.9478743489583333,0.9732397261304058,0.9478743489583179,0.9478743489583333,,,18446744073709523988,0.9548710309195679,0,29827,2199,582374,0.337022066116333,2.1883740425109863,1.8513519763946533,,,,584573.0,612201.0,
skimage_slic,skimage_watershed,0.8248746744791666,0.9444179415984943,0.866962723218486,0.9040343274143933,0.8248746744791666,0.9040343274143852,0.8248746744791532,0.8248746744791666,,,47943,0.9179862908481761,0,29827,77770,506803,0.337022066116333,0.15695929527282715,0.18006277084350586,,,,584573.0,,536630.0
skimage_quickshift,skimage_watershed,0.8698421223958334,0.995902204498444,0.8729665583689017,0.9303909800484145,0.8698421223958334,0.9303909800484064,0.8698421223958192,0.8698421223958334,,,75571,0.8765585159122432,0,2199,77770,534431,2.1883740425109863,0.15695929527282715,2.031414747238159,,,,,612201.0,536630.0
